init_joint_angles,x_target,y_target,Theta,iter_count,cost
[2.76355729 2.41565672 0.54568809],0.8819212643483549,0.4713967368259976,"[[-8.74538188 -5.92029405  0.32270601]
 [-4.03004197 -3.69589994 -2.40667101]
 [-2.8322186  -7.39051522  0.61097464]
 [ 0.24344954  1.24945167 -2.15268184]
 [ 0.33584884  1.44709183  0.71228946]]",5,0.41154761310212606
[2.76355729 2.41565672 0.54568809],0.9039892931234432,0.42755509343028203,"[[-8.28598737 -5.561287    0.08367733]
 [-4.71792287 -3.46313809 -2.24726555]
 [-3.2369819  -7.46603607  0.38584574]
 [ 0.08583449  0.75923709 -1.87528004]
 [ 0.08843748  1.8262852   0.71461952]]",13,0.3465135020171756
[2.76355729 2.41565672 0.54568809],0.9238795325112866,0.3826834323650897,"[[-7.50359096 -5.6482912  -0.16731211]
 [-5.36754608 -3.44079501 -2.50693084]
 [-3.89264328 -7.55104527  0.71024146]
 [-0.08952606  0.50478854 -1.85875544]
 [ 0.24240099  1.99240002  0.76547184]]",8,0.30912655124952737
[2.76355729 2.41565672 0.54568809],0.9415440651830207,0.33688985339222,"[[-7.5904106  -6.00094257 -0.35018273]
 [-5.39711777 -3.40124743 -2.36329521]
 [-3.86045184 -7.51921267  0.78748057]
 [-0.30604406  0.57307147 -1.85172854]
 [ 0.04379592  2.00295893  0.97354754]]",5,0.271658559918249
[2.76355729 2.41565672 0.54568809],-0.9569403357322088,-0.2902846772544621,"[[  1.81189853 -10.02668728  -2.1113445 ]
 [  0.54975044  -0.7736918   -0.06162358]
 [ -0.01449006   0.45702772  -1.5808733 ]
 [  0.82263809  -1.1715887    1.3267699 ]
 [  0.06629809   0.14478896   0.63759684]]",23,3.352548355009578
[2.76355729 2.41565672 0.54568809],-0.9415440651830207,-0.33688985339222005,"[[ 2.31928359 -9.79001242 -2.06208488]
 [ 0.45974861 -1.1824482  -0.69170968]
 [ 0.19735771 -0.08626103 -1.81546447]
 [ 0.6259142  -1.4536204   1.3462596 ]
 [ 0.34537629  0.18235554  0.76835338]]",11,3.369249485059992
[2.76355729 2.41565672 0.54568809],-0.9238795325112866,-0.3826834323650896,"[[ 2.45623183 -9.77053449 -2.01097533]
 [ 0.48481699 -1.08928662 -0.38538969]
 [-0.04666623  0.13103138 -1.98671205]
 [ 0.8300308  -1.53071338  1.40915849]
 [ 0.85314963  0.24721202  0.67321491]]",9,3.430362312874627
[2.76355729 2.41565672 0.54568809],-0.9039892931234433,-0.42755509343028175,"[[ 2.51305603e+00 -9.72428898e+00 -2.13052358e+00]
 [ 7.53367773e-01 -1.29942881e+00 -1.75337721e-01]
 [ 6.96678253e-03  4.47474128e-01 -1.88187793e+00]
 [ 7.83595305e-01 -1.47933027e+00  1.38696284e+00]
 [ 1.00477625e+00  2.09433063e-01  5.09253109e-01]]",7,3.4769539643027856
[2.76355729 2.41565672 0.54568809],-0.8819212643483549,-0.4713967368259976,"[[ 2.96130384 -9.69693337 -2.08647444]
 [ 0.58105457 -1.49498803 -0.30956038]
 [-0.14427048  0.50757664 -1.91962504]
 [ 0.9143766  -1.78474321  1.06397828]
 [ 1.34508546  0.26370011  0.51035887]]",5,3.5236315551015833
[2.76355729 2.41565672 0.54568809],-0.857728610000272,-0.5141027441932214,"[[ 3.29188999 -9.82786433 -1.97228054]
 [ 0.30117059 -1.39637992 -0.09262002]
 [ 0.21084766  0.62845209 -1.67769618]
 [ 0.82026305 -1.78210358  0.95041505]
 [ 1.46769869  0.03778569  0.60075712]]",7,3.569639621146004
[2.76355729 2.41565672 0.54568809],-0.8314696123025453,-0.5555702330196018,"[[ 3.21630814 -9.92454382 -1.64278508]
 [ 0.37582361 -1.20774409 -0.10199259]
 [ 0.58561308  0.50628939 -1.77942597]
 [ 0.91982511 -1.64401326  0.72553222]
 [ 1.60786752 -0.30004945  0.68122543]]",5,3.6217177774704132
[2.76355729 2.41565672 0.54568809],-0.8032075314806448,-0.5956993044924331,"[[  3.35038932 -10.90820448  -1.55303563]
 [  0.75651541  -0.70607738  -0.05980216]
 [  0.58981304   1.01068125  -1.92226972]
 [  0.83162335  -1.36465659   0.58445005]
 [  1.43896865  -0.28213716   0.78744128]]",9,3.66978625993527
[2.76355729 2.41565672 0.54568809],-0.773010453362737,-0.6343932841636452,"[[  3.03813578 -11.47221095  -0.79779648]
 [  1.27647204  -0.36333336   0.17545879]
 [  0.75521514   1.12556812  -2.01157194]
 [  1.04350412  -1.44257232   0.72214503]
 [  1.33796001  -0.09469066   0.67547479]]",7,3.730040819832607
[2.76355729 2.41565672 0.54568809],-0.7409511253549593,-0.671558954847018,"[[  3.67521282 -12.27706892  -1.2271839 ]
 [  1.02354832   0.22653509  -0.20886993]
 [  0.63463605   1.26200102  -2.10668151]
 [  1.10218968  -0.96870236   0.36774805]
 [  1.33644149  -0.22986231   1.34227944]]",15,3.7668509172970612
[2.76355729 2.41565672 0.54568809],-0.7071067811865476,-0.7071067811865474,"[[ 3.29222594e+00 -1.26186471e+01 -1.19180430e+00]
 [ 1.62764103e+00  4.99907101e-02  1.18598168e-01]
 [ 9.03885599e-01  1.41695795e+00 -1.69891854e+00]
 [ 1.23973296e+00 -6.57882672e-01 -3.38019979e-02]
 [ 1.70294540e+00  2.94653268e-03  1.70708652e+00]]",12,3.823851266145651
[2.76355729 2.41565672 0.54568809],-0.6715589548470186,-0.7409511253549587,"[[  3.70580133 -11.91400408  -1.35834079]
 [  1.44917448  -0.07607498  -0.16930377]
 [  0.76105353   1.31594682  -1.79666023]
 [  0.96973328  -0.70893168  -0.1174632 ]
 [  1.39707633  -0.09986473   1.87509169]]",6,3.87141123123241
[2.76355729 2.41565672 0.54568809],-0.6343932841636452,-0.773010453362737,"[[  3.71093986 -12.08454306  -1.68064599]
 [  1.64815733  -0.37964053  -0.21751554]
 [  0.91705575   1.57257658  -1.42122684]
 [  1.35851488  -0.79981681  -0.01707518]
 [  1.50441044   0.08243923   1.81492551]]",7,3.918548385655138
[2.76355729 2.41565672 0.54568809],-0.5956993044924331,-0.8032075314806449,"[[  4.09088543 -12.18818734  -1.77372159]
 [  1.42845344  -0.02300853  -0.43929154]
 [  1.03847528   1.76822819  -1.55242744]
 [  1.25994321  -0.67010505   0.02600734]
 [  1.29066122   0.19566819   1.844763  ]]",6,3.960975921946218
[2.76355729 2.41565672 0.54568809],-0.5555702330196021,-0.8314696123025451,"[[  4.12355311 -11.98244381  -1.98855887]
 [  1.67103392   0.0265137   -0.38083648]
 [  1.13559665   1.64324326  -1.51249428]
 [  1.12468696  -0.71594908  -0.11772485]
 [  1.38149067  -0.08777868   1.97979332]]",6,4.01033942327782
[2.76355729 2.41565672 0.54568809],-0.5141027441932218,-0.8577286100002719,"[[  4.34233026 -12.05846562  -2.36049663]
 [  1.67580099   0.03206525  -0.15900892]
 [  1.21429816   1.51491302  -1.62523687]
 [  1.39772967  -0.70703817  -0.10294109]
 [  1.2349025    0.14778893   2.19281497]]",6,4.058537528423136
